Ticker;CÓDIGO;EMPRESA;SETOR ECONÔMICO;SUBSETOR;SEGMENTO
OSXB3.SA;OSXB;OSX BRASIL  ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
PFRM3.SA;PFRM;PROFARMA    ;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
CSUD3.SA;CSUD;CSU DIGITAL;Financeiro;Serviços Financeiros Diversos;Serviços Financeiros Diversos
JFEN3.SA;JFEN;JOAO FORTES ;Consumo Cíclico;Construção Civil;Incorporações
RSID3.SA;RSID;ROSSI RESID ;Consumo Cíclico;Construção Civil;Incorporações
NINJ3.SA;NINJ;GETNINJAS;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
BRPR3.SA;BRPR;BR PROPERT  ;Financeiro;Exploração de Imóveis;Exploração de Imóveis
EUCA4.SA;EUCA;EUCATEX     ;Materiais Básicos;Madeira e Papel;Madeira
EUCA3.SA;EUCA;EUCATEX     ;Materiais Básicos;Madeira e Papel;Madeira
DEXP3.SA;DEXP;DEXXOS PAR;Materiais Básicos;Químicos;Petroquímicos
DEXP4.SA;DEXP;DEXXOS PAR;Materiais Básicos;Químicos;Petroquímicos
CTSA4.SA;CTSA;SANTANENSE  ;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTSA3.SA;CTSA;SANTANENSE  ;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTSA8.SA;CTSA;SANTANENSE  ;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos
ALUP3.SA;ALUP;ALUPAR;Utilidade Pública;Energia Elétrica;Energia Elétrica
ALUP4.SA;ALUP;ALUPAR;Utilidade Pública;Energia Elétrica;Energia Elétrica
BEES3.SA;BEES;BANESTES    ;Financeiro;Intermediários Financeiros;Bancos
BEES4.SA;BEES;BANESTES    ;Financeiro;Intermediários Financeiros;Bancos
ENGI4.SA;ENGI;ENERGISA    ;Utilidade Pública;Energia Elétrica;Energia Elétrica
ENGI3.SA;ENGI;ENERGISA    ;Utilidade Pública;Energia Elétrica;Energia Elétrica
ALLD3.SA;ALLD;ALLIED;Consumo Cíclico;Comércio Varejista;Eletrodomésticos
LVTC3.SA;LVTC;WDC NETWORKS;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
CAMB3.SA;CAMB;CAMBUCI     ;Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados
UCAS3.SA;UCAS;UNICASA;Consumo Cíclico;Utilidades Domésticas;Móveis
PMAM3.SA;PMAM;PARANAPANEMA;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre
EQPA3.SA;EQPA;EQTL PARA;Utilidade Pública;Energia Elétrica;Energia Elétrica
EQPA7.SA;EQPA;EQTL PARA;Utilidade Pública;Energia Elétrica;Energia Elétrica
EQPA5.SA;EQPA;EQTL PARA;Utilidade Pública;Energia Elétrica;Energia Elétrica
EQPA6.SA;EQPA;EQTL PARA;Utilidade Pública;Energia Elétrica;Energia Elétrica
ATOM3.SA;ATOM;ATOMPAR;Outros;Outros;Outros
BIOM3.SA;BIOM;BIOMM       ;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
LAND3.SA;LAND;TERRASANTAPA;Consumo não Cíclico;Agropecuária;Agricultura
DESK3.SA;DESK;DESKTOP;Comunicações;Telecomunicações;Telecomunicações
HOOT4.SA;HOOT;HOTEIS OTHON;Consumo Cíclico;Hoteis e Restaurantes;Hotelaria
DMVF3.SA;DMVF;D1000VFARMA;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
NEXP3.SA;NEXP;NEXPE;Financeiro;Exploração de Imóveis;Intermediação Imobiliária
ELMD3.SA;ELMD;ELETROMIDIA;Comunicações;Mídia;Publicidade e Propaganda
CEBR6.SA;CEBR;CEB         ;Utilidade Pública;Energia Elétrica;Energia Elétrica
CEBR3.SA;CEBR;CEB         ;Utilidade Pública;Energia Elétrica;Energia Elétrica
